"","x","cntry","essround","idno","pspwght","pweight","polintr","happy","gndr","yrbrn","agea","chldhm","edulvla","eisced","eduyrs","pdwrk","edctn","wkhtot","isco08","uemp3m","hinctnta","agea_l"
"855",855,"CH",8,2032,0.993800044,0.464939934,4,4,1,1981,36,2,3,3,9,0,0,60,9000,1,88,2017
"1253",1253,"CH",8,2866,0.966035604,0.464939934,2,7,2,1969,47,1,3,3,13,0,0,80,6121,2,5,2016
"467",467,"CH",8,1178,0.759676516,0.464939934,1,8,1,1934,82,2,3,3,9,0,0,52,6113,2,3,2016
"1312",1312,"CH",8,2976,1.147626638,0.464939934,4,10,2,1984,32,1,2,2,12,0,0,6,9110,1,4,2016
"1223",1223,"CH",8,2813,0.866011918,0.464939934,2,8,1,1997,19,2,3,3,9,0,1,40,3110,2,7,2016
"175",175,"CH",8,510,0.924070776,0.464939934,2,9,2,1955,61,2,4,5,10,1,0,27,3221,2,3,2016
"1176",1176,"CH",8,2717,1.090924263,0.464939934,2,10,2,1957,59,1,2,2,9,0,0,40,4223,1,77,2016
"851",851,"CH",8,2025,1.160116434,0.464939934,3,7,2,1996,20,2,3,4,13,0,1,8,5230,1,7,2016
"1076",1076,"CH",8,2512,1.102796197,0.464939934,1,10,2,1957,59,2,2,2,12,0,0,666,66666,2,77,2016
"1415",1415,"CH",8,3172,1.033508062,0.464939934,4,8,1,1987,29,1,3,3,9,1,0,41,2422,1,6,2016
"920",920,"CH",8,2177,1.160116434,0.464939934,2,5,2,1995,21,2,3,4,13,1,1,0,5230,2,6,2016
"257",257,"CH",8,729,1.102796197,0.464939934,3,9,2,1944,72,2,3,3,12,0,0,40,3343,2,2,2016
"534",534,"CH",8,1327,0.899777412,0.464939934,2,10,1,1948,68,2,5,7,16,1,0,10,2131,2,10,2016
"435",435,"CH",8,1119,1.160116434,0.464939934,2,9,2,1985,31,1,5,5,12,1,0,9,5223,2,4,2016
"290",290,"CH",8,806,0.890090764,0.464939934,2,10,1,1940,76,2,3,3,8,0,0,40,4321,1,2,2016
"1213",1213,"CH",8,2792,0.966035604,0.464939934,1,10,2,1975,41,1,5,6,13,1,0,55,3324,2,88,2016
"1454",1454,"CH",8,3277,0.972100914,0.464939934,3,6,2,1986,30,1,3,3,9,1,0,19,4120,2,6,2016
"1217",1217,"CH",8,2800,0.899520457,0.464939934,2,7,1,1991,25,2,2,2,10,0,0,35,5223,1,6,2016
"1086",1086,"CH",8,2531,1.009714603,0.464939934,3,7,2,1999,17,2,2,2,10,0,1,666,66666,2,88,2016
"453",453,"CH",8,1156,0.890090764,0.464939934,2,8,1,1945,71,2,5,5,9,0,0,0,2144,2,8,2016
"694",694,"CH",8,1681,0.899520457,0.464939934,2,8,1,1994,22,2,3,4,14,1,0,15,9610,2,5,2016
"124",124,"CH",8,371,0.924070776,0.464939934,4,10,2,1956,60,2,2,2,8,1,0,7,9100,2,77,2016
"361",361,"CH",8,965,0.78312695,0.464939934,1,8,1,1955,61,2,5,7,16,1,0,32,2000,2,10,2016
"584",584,"CH",8,1447,0.866011918,0.464939934,3,8,1,1987,29,2,3,3,9,1,0,44,7522,2,8,2016
"1337",1337,"CH",8,3024,0.924070776,0.464939934,3,8,2,1961,55,1,3,3,9,1,0,0,2351,2,9,2016
"915",915,"CH",8,2166,1.090924263,0.464939934,2,9,2,1962,55,1,3,3,9,0,0,42,2412,2,77,2017
"419",419,"CH",8,1085,0.924070776,0.464939934,1,9,2,1946,70,2,3,3,9,0,0,40,4110,2,3,2016
"471",471,"CH",8,1183,0.78312695,0.464939934,2,8,1,1948,68,2,2,2,10,0,0,45,3432,2,7,2016
"1363",1363,"CH",8,3071,1.022381425,0.464939934,3,9,1,1984,32,1,3,3,16,1,0,50,3411,2,8,2016
