x,cntry,essround,idno,pspwght,pweight,polintr,happy,gndr,yrbrn,agea,chldhm,edulvla,eisced,eduyrs,pdwrk,edctn,wkhtot,isco08,uemp3m,hinctnta
197,CH,8,582,1.160116434,0.464939934,2,9,2,1989,27,2,88,88,15,1,0,28,5131,2,77
198,CH,8,583,1.186012149,0.464939934,3,7,1,1965,51,2,3,3,9,1,0,45,1213,2,8
199,CH,8,585,0.890090764,0.464939934,3,8,1,1942,74,2,3,3,8,0,0,55,4323,2,8
200,CH,8,589,1.147626638,0.464939934,2,9,2,1984,32,2,5,7,16,1,0,58,1000,2,8
201,CH,8,593,1.17324388,0.464939934,1,8,1,1967,49,2,5,5,9,1,0,46,3110,2,5
202,CH,8,597,1.17324388,0.464939934,1,9,1,1969,47,1,3,3,9,1,0,35,2165,2,4
203,CH,8,600,1.140466452,0.464939934,2,8,2,1969,48,1,3,3,14,1,0,28,5120,2,2
204,CH,8,603,0.972100914,0.464939934,1,10,2,1991,25,2,5,6,18,1,0,41,3343,2,1
205,CH,8,604,1.140466452,0.464939934,3,10,2,1981,35,2,5,6,13,1,0,40,3313,2,8
206,CH,8,606,0.959825993,0.464939934,2,9,2,1961,55,2,3,3,9,1,0,25,2300,1,7
207,CH,8,611,1.160116434,0.464939934,3,7,2,1989,27,1,3,3,10,0,0,888,4120,2,3
208,CH,8,612,0.924070776,0.464939934,2,10,2,1955,61,1,3,3,9,1,0,38,5311,1,6
209,CH,8,615,0.78312695,0.464939934,2,8,1,1934,82,2,4,5,9,0,0,50,2636,2,3
210,CH,8,616,0.75395447,0.464939934,1,8,1,1955,61,2,3,3,8,1,0,42,5153,2,6
211,CH,8,617,0.75395447,0.464939934,2,10,1,1960,56,2,5,5,12,0,0,55,1120,2,9
212,CH,8,618,1.160116434,0.464939934,2,7,2,1983,33,2,5,7,17,1,0,47,2411,2,10
213,CH,8,621,0.872584283,0.464939934,4,2,1,1983,33,2,2,2,9,0,0,48,9214,1,3
214,CH,8,622,0.959825993,0.464939934,2,10,2,1951,65,2,2,2,9,1,0,25,5223,2,77
215,CH,8,624,0.759676516,0.464939934,1,7,1,1945,71,2,2,2,10,0,0,45,9310,2,2
216,CH,8,626,1.090924263,0.464939934,1,10,2,1948,68,2,5,5,10,0,0,90,1342,2,8
217,CH,8,627,0.959825993,0.464939934,3,8,2,1953,63,2,1,1,9,0,0,666,66666,7,3
218,CH,8,629,0.78312695,0.464939934,4,6,1,1946,70,2,3,4,12,0,0,45,8331,2,3
219,CH,8,630,1.17324388,0.464939934,2,8,1,1971,45,2,5,7,18,1,0,45,1300,2,10
220,CH,8,632,1.17324388,0.464939934,2,8,1,1978,38,2,5,5,12,1,0,42,2151,2,7
221,CH,8,634,0.78312695,0.464939934,2,8,1,1947,69,2,3,3,9,0,0,45,3122,2,4
222,CH,8,635,0.78312695,0.464939934,2,7,1,1956,60,2,5,5,9,1,0,42,3123,2,4
223,CH,8,637,1.210716963,0.464939934,4,8,2,1951,65,1,1,1,5,0,0,18,9110,2,1
224,CH,8,639,0.924070776,0.464939934,1,6,2,1949,67,1,5,6,9,0,0,40,2166,2,1
225,CH,8,640,1.032253623,0.464939934,2,5,1,1968,48,2,3,3,9,1,0,42,7222,2,6
226,CH,8,644,0.899520457,0.464939934,2,9,1,1992,24,2,3,3,9,1,0,50,7411,2,88
227,CH,8,647,1.102796197,0.464939934,3,8,2,1943,73,2,5,6,16,0,0,20,2330,2,6
228,CH,8,648,0.924070776,0.464939934,4,6,2,1960,56,2,1,1,4,1,0,8,9110,1,5
229,CH,8,651,0.759676516,0.464939934,2,8,1,1932,84,2,2,2,10,0,0,42,3120,2,4
230,CH,8,656,0.75395447,0.464939934,2,5,1,1960,56,2,5,6,14,1,0,45,2141,1,8
231,CH,8,658,0.890090764,0.464939934,2,7,1,1935,81,2,3,3,8,0,0,48,6130,2,2
232,CH,8,662,1.102796197,0.464939934,2,9,2,1960,56,1,3,3,9,0,0,48,5321,2,2
233,CH,8,663,1.022381425,0.464939934,3,3,1,1998,18,2,2,2,12,0,1,32,7234,2,88
234,CH,8,668,0.78312695,0.464939934,2,7,1,1956,60,2,3,3,9,1,0,45,7222,2,77
235,CH,8,670,1.090924263,0.464939934,3,7,2,1954,62,2,2,2,8,1,0,4,5152,2,77
236,CH,8,671,0.890090764,0.464939934,1,8,1,1951,65,2,5,7,9,0,0,60,2144,2,6
237,CH,8,672,0.979478419,0.464939934,2,8,2,1984,32,2,5,7,12,1,0,45,2635,2,7
238,CH,8,678,1.102796197,0.464939934,1,9,2,1950,67,2,5,5,20,1,0,40,2421,2,10
239,CH,8,680,1.032253623,0.464939934,2,8,1,1969,47,2,3,3,10,1,0,60,8142,2,5
240,CH,8,685,1.090924263,0.464939934,2,8,2,1939,77,2,3,3,9,0,0,70,5131,2,1
241,CH,8,688,0.959825993,0.464939934,2,9,2,1957,59,2,3,3,9,1,0,25,3344,2,7
242,CH,8,690,1.090924263,0.464939934,2,9,2,1960,56,1,5,7,22,1,0,36,3422,2,5
243,CH,8,701,0.866011918,0.464939934,2,8,1,1982,34,2,4,5,9,1,0,46,7231,2,8
244,CH,8,702,1.090924263,0.464939934,2,9,2,1955,61,2,3,3,13,1,0,27,3256,2,77
245,CH,8,703,0.924070776,0.464939934,1,8,2,1950,66,2,5,5,9,0,0,50,2330,2,5
246,CH,8,704,1.102796197,0.464939934,2,8,2,1935,81,2,2,2,10,0,0,60,9000,2,77
247,CH,8,705,0.979478419,0.464939934,2,9,2,1984,32,2,5,7,17,1,0,45,2610,2,8
248,CH,8,708,0.924070776,0.464939934,1,7,2,1945,71,2,3,3,9,1,0,7,3311,2,4
249,CH,8,709,1.003414631,0.464939934,2,8,2,1970,46,2,3,4,15,1,0,35,2341,1,8
250,CH,8,715,0.993800044,0.464939934,2,10,1,1962,54,2,5,7,12,1,0,50,1000,2,77
251,CH,8,716,1.147626638,0.464939934,3,10,2,1985,31,1,5,7,12,0,0,46,1345,2,9
252,CH,8,717,0.759676516,0.464939934,1,10,1,1942,74,2,5,6,11,0,0,60,3522,2,77
253,CH,8,719,0.78312695,0.464939934,2,10,1,1934,82,2,3,3,12,0,0,666,66666,2,2
254,CH,8,721,1.090924263,0.464939934,3,10,2,1952,64,2,3,3,8,0,0,21,4412,2,3
255,CH,8,722,1.001342416,0.464939934,3,9,1,1980,37,1,5,7,12,1,0,50,1213,1,8
256,CH,8,725,1.302075982,0.464939934,2,10,1,1969,47,1,5,7,12,1,0,5,2412,2,8
257,CH,8,729,1.102796197,0.464939934,3,9,2,1944,72,2,3,3,12,0,0,40,3343,2,2
258,CH,8,737,0.78312695,0.464939934,2,7,1,1948,68,2,5,7,16,0,0,50,2330,2,6
259,CH,8,741,1.147626638,0.464939934,2,8,2,1983,33,1,5,5,9,1,0,25,1120,2,7
260,CH,8,743,1.140466452,0.464939934,3,9,2,1967,49,2,5,5,9,1,0,25,2230,2,6
261,CH,8,745,1.090924263,0.464939934,2,9,2,1934,82,2,3,3,8,0,0,20,5223,2,8
262,CH,8,751,1.147626638,0.464939934,4,9,2,1982,34,1,2,2,9,1,0,25,3118,2,8
263,CH,8,754,0.78312695,0.464939934,2,5,1,1952,64,2,5,5,11,0,0,21,3123,2,5
264,CH,8,755,0.959825993,0.464939934,2,8,2,1925,91,2,1,1,7,0,0,666,66666,2,77
265,CH,8,757,0.899777412,0.464939934,2,9,1,1926,90,2,5,7,17,0,0,45,1212,2,7
266,CH,8,759,0.924070776,0.464939934,2,9,2,1954,62,2,3,3,9,0,0,50,1120,2,8
267,CH,8,764,0.899777412,0.464939934,3,8,1,1944,72,2,2,2,8,1,0,45,7213,2,77
268,CH,8,765,1.001342416,0.464939934,3,9,1,1963,53,2,5,5,13,1,0,48,3323,2,9
