"","x","cntry","essround","idno","pspwght","pweight","polintr","happy","gndr","yrbrn","agea","chldhm","edulvla","eisced","eduyrs","pdwrk","edctn","wkhtot","isco08","uemp3m","hinctnta","agea_l","zv"
"1438",1438,"CH",8,3235,0.959825993,0.464939934,4,7,2,1957,59,2,3,4,12,0,0,50,4419,2,2,2016,-1.14878149387355
"579",579,"CH",8,1440,0.899520457,0.464939934,3,10,1,1985,31,1,3,3,9,1,0,43,3123,2,6,2016,-1.14477560481022
"1394",1394,"CH",8,3122,1.160116434,0.464939934,2,10,2,1999,17,2,3,4,11,0,0,40,5131,2,8,2016,-1.14363611449406
"137",137,"CH",8,407,1.102796197,0.464939934,3,9,2,1925,91,2,2,2,9,0,0,45,9320,2,1,2016,-1.13774441897695
"1441",1441,"CH",8,3243,1.032253623,0.464939934,1,8,1,1966,50,1,5,5,13,1,0,60,3118,2,8,2016,-1.13601347717859
"414",414,"CH",8,1077,0.866011918,0.464939934,2,8,1,1988,28,2,3,3,9,1,0,50,7120,2,3,2016,-1.13506444894946
"49",49,"CH",8,134,1.090924263,0.464939934,1,9,2,1936,80,2,3,4,14,0,0,42,2342,2,4,2016,-1.13483384839454
"658",658,"CH",8,1592,0.866011918,0.464939934,4,10,1,1987,29,2,2,2,10,1,0,40,5120,1,1,2016,-1.1306918943317
"990",990,"CH",8,2342,0.872584283,0.464939934,2,8,1,1992,24,2,5,6,17,0,1,20,2120,2,10,2016,-1.1306523018269
"194",194,"CH",8,570,0.899520457,0.464939934,3,10,1,1984,32,1,5,6,16,1,0,45,1212,2,7,2016,-1.12200547024061
"342",342,"CH",8,928,1.090924263,0.464939934,2,9,2,1949,67,2,3,3,9,0,0,44,5141,2,5,2016,-1.1200620994987
